,HBName,CAName,Year,InjuryType,NumberofDeaths
922,NHS Grampian,Aberdeenshire,2014,"Struck by,against",0
923,NHS Grampian,Aberdeenshire,2014,Crushing,0
924,NHS Grampian,Aberdeenshire,2014,Scalds,0
925,NHS Grampian,Aberdeenshire,2014,Accidental exposure,2
926,NHS Grampian,Aberdeenshire,2014,Other,6
928,NHS Grampian,Aberdeenshire,2015,Land transport accidents,18
929,NHS Grampian,Aberdeenshire,2015,Poisoning,11
930,NHS Grampian,Aberdeenshire,2015,Falls,34
931,NHS Grampian,Aberdeenshire,2015,"Struck by,against",0
932,NHS Grampian,Aberdeenshire,2015,Crushing,0
933,NHS Grampian,Aberdeenshire,2015,Scalds,0
934,NHS Grampian,Aberdeenshire,2015,Accidental exposure,6
935,NHS Grampian,Aberdeenshire,2015,Other,5
937,NHS Grampian,Aberdeenshire,2016,Land transport accidents,16
938,NHS Grampian,Aberdeenshire,2016,Poisoning,16
939,NHS Grampian,Aberdeenshire,2016,Falls,39
940,NHS Grampian,Aberdeenshire,2016,"Struck by,against",2
941,NHS Grampian,Aberdeenshire,2016,Crushing,0
942,NHS Grampian,Aberdeenshire,2016,Scalds,0
943,NHS Grampian,Aberdeenshire,2016,Accidental exposure,3
944,NHS Grampian,Aberdeenshire,2016,Other,5
946,NHS Grampian,Aberdeenshire,2017,Land transport accidents,12
947,NHS Grampian,Aberdeenshire,2017,Poisoning,25
948,NHS Grampian,Aberdeenshire,2017,Falls,23
949,NHS Grampian,Aberdeenshire,2017,"Struck by,against",0
950,NHS Grampian,Aberdeenshire,2017,Crushing,0
951,NHS Grampian,Aberdeenshire,2017,Scalds,0
952,NHS Grampian,Aberdeenshire,2017,Accidental exposure,3
953,NHS Grampian,Aberdeenshire,2017,Other,8
955,NHS Grampian,Aberdeenshire,2018,Land transport accidents,14
956,NHS Grampian,Aberdeenshire,2018,Poisoning,21
957,NHS Grampian,Aberdeenshire,2018,Falls,45
958,NHS Grampian,Aberdeenshire,2018,"Struck by,against",0
959,NHS Grampian,Aberdeenshire,2018,Crushing,0
960,NHS Grampian,Aberdeenshire,2018,Scalds,0
961,NHS Grampian,Aberdeenshire,2018,Accidental exposure,7
962,NHS Grampian,Aberdeenshire,2018,Other,8
964,NHS Grampian,Aberdeenshire,2019,Land transport accidents,6
965,NHS Grampian,Aberdeenshire,2019,Poisoning,36
966,NHS Grampian,Aberdeenshire,2019,Falls,34
967,NHS Grampian,Aberdeenshire,2019,"Struck by,against",0
968,NHS Grampian,Aberdeenshire,2019,Crushing,0
969,NHS Grampian,Aberdeenshire,2019,Scalds,0
970,NHS Grampian,Aberdeenshire,2019,Accidental exposure,4
971,NHS Grampian,Aberdeenshire,2019,Other,5
973,NHS Grampian,Aberdeenshire,2020,Land transport accidents,13
974,NHS Grampian,Aberdeenshire,2020,Poisoning,37
975,NHS Grampian,Aberdeenshire,2020,Falls,29
976,NHS Grampian,Aberdeenshire,2020,"Struck by,against",0
977,NHS Grampian,Aberdeenshire,2020,Crushing,0
978,NHS Grampian,Aberdeenshire,2020,Scalds,0
979,NHS Grampian,Aberdeenshire,2020,Accidental exposure,10
980,NHS Grampian,Aberdeenshire,2020,Other,3
982,NHS Grampian,Aberdeenshire,2021,Land transport accidents,11
983,NHS Grampian,Aberdeenshire,2021,Poisoning,33
984,NHS Grampian,Aberdeenshire,2021,Falls,44
985,NHS Grampian,Aberdeenshire,2021,"Struck by,against",0
986,NHS Grampian,Aberdeenshire,2021,Crushing,0
987,NHS Grampian,Aberdeenshire,2021,Scalds,0
988,NHS Grampian,Aberdeenshire,2021,Accidental exposure,4
989,NHS Grampian,Aberdeenshire,2021,Other,3
991,NHS Highland,Highland,2012,Land transport accidents,16
992,NHS Highland,Highland,2012,Poisoning,21
993,NHS Highland,Highland,2012,Falls,40
994,NHS Highland,Highland,2012,"Struck by,against",0
995,NHS Highland,Highland,2012,Crushing,0
996,NHS Highland,Highland,2012,Scalds,0
997,NHS Highland,Highland,2012,Accidental exposure,2
998,NHS Highland,Highland,2012,Other,16
1000,NHS Highland,Highland,2013,Land transport accidents,20
1001,NHS Highland,Highland,2013,Poisoning,15
1002,NHS Highland,Highland,2013,Falls,30
1003,NHS Highland,Highland,2013,"Struck by,against",1
1004,NHS Highland,Highland,2013,Crushing,0
1005,NHS Highland,Highland,2013,Scalds,0
1006,NHS Highland,Highland,2013,Accidental exposure,0
1007,NHS Highland,Highland,2013,Other,12
1009,NHS Highland,Highland,2014,Land transport accidents,15
1010,NHS Highland,Highland,2014,Poisoning,18
1011,NHS Highland,Highland,2014,Falls,39
1012,NHS Highland,Highland,2014,"Struck by,against",1
1013,NHS Highland,Highland,2014,Crushing,0
1014,NHS Highland,Highland,2014,Scalds,0
1015,NHS Highland,Highland,2014,Accidental exposure,1
1016,NHS Highland,Highland,2014,Other,4
1018,NHS Highland,Highland,2015,Land transport accidents,14
1019,NHS Highland,Highland,2015,Poisoning,21
1020,NHS Highland,Highland,2015,Falls,34
1021,NHS Highland,Highland,2015,"Struck by,against",0
1022,NHS Highland,Highland,2015,Crushing,0
1023,NHS Highland,Highland,2015,Scalds,0
1024,NHS Highland,Highland,2015,Accidental exposure,0
1025,NHS Highland,Highland,2015,Other,13
1027,NHS Highland,Highland,2016,Land transport accidents,19
1028,NHS Highland,Highland,2016,Poisoning,17
1029,NHS Highland,Highland,2016,Falls,34
1030,NHS Highland,Highland,2016,"Struck by,against",0
1031,NHS Highland,Highland,2016,Crushing,1
1032,NHS Highland,Highland,2016,Scalds,0
1033,NHS Highland,Highland,2016,Accidental exposure,5
1034,NHS Highland,Highland,2016,Other,22
1036,NHS Highland,Highland,2017,Land transport accidents,17
1037,NHS Highland,Highland,2017,Poisoning,19
1038,NHS Highland,Highland,2017,Falls,46
1039,NHS Highland,Highland,2017,"Struck by,against",0
1040,NHS Highland,Highland,2017,Crushing,0
1041,NHS Highland,Highland,2017,Scalds,0
1042,NHS Highland,Highland,2017,Accidental exposure,3
1043,NHS Highland,Highland,2017,Other,15
1045,NHS Highland,Highland,2018,Land transport accidents,25
1046,NHS Highland,Highland,2018,Poisoning,35
1047,NHS Highland,Highland,2018,Falls,55
1048,NHS Highland,Highland,2018,"Struck by,against",2
1049,NHS Highland,Highland,2018,Crushing,0
1050,NHS Highland,Highland,2018,Scalds,0
1051,NHS Highland,Highland,2018,Accidental exposure,5
1052,NHS Highland,Highland,2018,Other,16
1054,NHS Highland,Highland,2019,Land transport accidents,24
1055,NHS Highland,Highland,2019,Poisoning,13
1056,NHS Highland,Highland,2019,Falls,51
1057,NHS Highland,Highland,2019,"Struck by,against",1
1058,NHS Highland,Highland,2019,Crushing,0
1059,NHS Highland,Highland,2019,Scalds,0
1060,NHS Highland,Highland,2019,Accidental exposure,1
1061,NHS Highland,Highland,2019,Other,17
1063,NHS Highland,Highland,2020,Land transport accidents,18
1064,NHS Highland,Highland,2020,Poisoning,29
1065,NHS Highland,Highland,2020,Falls,56
1066,NHS Highland,Highland,2020,"Struck by,against",0
1067,NHS Highland,Highland,2020,Crushing,0
1068,NHS Highland,Highland,2020,Scalds,0
1069,NHS Highland,Highland,2020,Accidental exposure,6
1070,NHS Highland,Highland,2020,Other,15
1072,NHS Highland,Highland,2021,Land transport accidents,14
1073,NHS Highland,Highland,2021,Poisoning,34
1074,NHS Highland,Highland,2021,Falls,44
1075,NHS Highland,Highland,2021,"Struck by,against",0
1076,NHS Highland,Highland,2021,Crushing,0
1077,NHS Highland,Highland,2021,Scalds,1
1078,NHS Highland,Highland,2021,Accidental exposure,6
1079,NHS Highland,Highland,2021,Other,14
1081,NHS Highland,Argyll and Bute,2012,Land transport accidents,2
1082,NHS Highland,Argyll and Bute,2012,Poisoning,6
1083,NHS Highland,Argyll and Bute,2012,Falls,14
1084,NHS Highland,Argyll and Bute,2012,"Struck by,against",0
1085,NHS Highland,Argyll and Bute,2012,Crushing,0
1086,NHS Highland,Argyll and Bute,2012,Scalds,0
1087,NHS Highland,Argyll and Bute,2012,Accidental exposure,3
1088,NHS Highland,Argyll and Bute,2012,Other,8
1090,NHS Highland,Argyll and Bute,2013,Land transport accidents,7
1091,NHS Highland,Argyll and Bute,2013,Poisoning,10
1092,NHS Highland,Argyll and Bute,2013,Falls,11
1093,NHS Highland,Argyll and Bute,2013,"Struck by,against",0
1094,NHS Highland,Argyll and Bute,2013,Crushing,0
1095,NHS Highland,Argyll and Bute,2013,Scalds,0
1096,NHS Highland,Argyll and Bute,2013,Accidental exposure,2
1097,NHS Highland,Argyll and Bute,2013,Other,3
1099,NHS Highland,Argyll and Bute,2014,Land transport accidents,5
1100,NHS Highland,Argyll and Bute,2014,Poisoning,7
1101,NHS Highland,Argyll and Bute,2014,Falls,16
1102,NHS Highland,Argyll and Bute,2014,"Struck by,against",0
1103,NHS Highland,Argyll and Bute,2014,Crushing,0
1104,NHS Highland,Argyll and Bute,2014,Scalds,0
1105,NHS Highland,Argyll and Bute,2014,Accidental exposure,1
1106,NHS Highland,Argyll and Bute,2014,Other,2
1108,NHS Highland,Argyll and Bute,2015,Land transport accidents,5
1109,NHS Highland,Argyll and Bute,2015,Poisoning,7
1110,NHS Highland,Argyll and Bute,2015,Falls,20
1111,NHS Highland,Argyll and Bute,2015,"Struck by,against",0
1112,NHS Highland,Argyll and Bute,2015,Crushing,0
1113,NHS Highland,Argyll and Bute,2015,Scalds,0
1114,NHS Highland,Argyll and Bute,2015,Accidental exposure,1
1115,NHS Highland,Argyll and Bute,2015,Other,2
1117,NHS Highland,Argyll and Bute,2016,Land transport accidents,7
1118,NHS Highland,Argyll and Bute,2016,Poisoning,11
1119,NHS Highland,Argyll and Bute,2016,Falls,19
1120,NHS Highland,Argyll and Bute,2016,"Struck by,against",0
1121,NHS Highland,Argyll and Bute,2016,Crushing,0
1122,NHS Highland,Argyll and Bute,2016,Scalds,0
1123,NHS Highland,Argyll and Bute,2016,Accidental exposure,2
1124,NHS Highland,Argyll and Bute,2016,Other,4
1126,NHS Highland,Argyll and Bute,2017,Land transport accidents,4
1127,NHS Highland,Argyll and Bute,2017,Poisoning,7
1128,NHS Highland,Argyll and Bute,2017,Falls,13
1129,NHS Highland,Argyll and Bute,2017,"Struck by,against",1
1130,NHS Highland,Argyll and Bute,2017,Crushing,0
1131,NHS Highland,Argyll and Bute,2017,Scalds,0
1132,NHS Highland,Argyll and Bute,2017,Accidental exposure,0
1133,NHS Highland,Argyll and Bute,2017,Other,7
1135,NHS Highland,Argyll and Bute,2018,Land transport accidents,7
1136,NHS Highland,Argyll and Bute,2018,Poisoning,9
1137,NHS Highland,Argyll and Bute,2018,Falls,25
1138,NHS Highland,Argyll and Bute,2018,"Struck by,against",0
1139,NHS Highland,Argyll and Bute,2018,Crushing,0
1140,NHS Highland,Argyll and Bute,2018,Scalds,0
1141,NHS Highland,Argyll and Bute,2018,Accidental exposure,0
1142,NHS Highland,Argyll and Bute,2018,Other,3
1144,NHS Highland,Argyll and Bute,2019,Land transport accidents,6
1145,NHS Highland,Argyll and Bute,2019,Poisoning,16
1146,NHS Highland,Argyll and Bute,2019,Falls,18
1147,NHS Highland,Argyll and Bute,2019,"Struck by,against",0
1148,NHS Highland,Argyll and Bute,2019,Crushing,0
1149,NHS Highland,Argyll and Bute,2019,Scalds,0
1150,NHS Highland,Argyll and Bute,2019,Accidental exposure,1
1151,NHS Highland,Argyll and Bute,2019,Other,2
1153,NHS Highland,Argyll and Bute,2020,Land transport accidents,4
1154,NHS Highland,Argyll and Bute,2020,Poisoning,13
1155,NHS Highland,Argyll and Bute,2020,Falls,19
1156,NHS Highland,Argyll and Bute,2020,"Struck by,against",1
1157,NHS Highland,Argyll and Bute,2020,Crushing,0
1158,NHS Highland,Argyll and Bute,2020,Scalds,0
1159,NHS Highland,Argyll and Bute,2020,Accidental exposure,1
1160,NHS Highland,Argyll and Bute,2020,Other,3
1162,NHS Highland,Argyll and Bute,2021,Land transport accidents,5
1163,NHS Highland,Argyll and Bute,2021,Poisoning,8
1164,NHS Highland,Argyll and Bute,2021,Falls,19
1165,NHS Highland,Argyll and Bute,2021,"Struck by,against",0
1166,NHS Highland,Argyll and Bute,2021,Crushing,0
1167,NHS Highland,Argyll and Bute,2021,Scalds,0
1168,NHS Highland,Argyll and Bute,2021,Accidental exposure,0
1169,NHS Highland,Argyll and Bute,2021,Other,8
1171,NHS Lothian,East Lothian,2012,Land transport accidents,2
1172,NHS Lothian,East Lothian,2012,Poisoning,3
1173,NHS Lothian,East Lothian,2012,Falls,13
1174,NHS Lothian,East Lothian,2012,"Struck by,against",0
1175,NHS Lothian,East Lothian,2012,Crushing,0
1176,NHS Lothian,East Lothian,2012,Scalds,0
1177,NHS Lothian,East Lothian,2012,Accidental exposure,0
1178,NHS Lothian,East Lothian,2012,Other,0
1180,NHS Lothian,East Lothian,2013,Land transport accidents,4
1181,NHS Lothian,East Lothian,2013,Poisoning,5
1182,NHS Lothian,East Lothian,2013,Falls,14
1183,NHS Lothian,East Lothian,2013,"Struck by,against",0
1184,NHS Lothian,East Lothian,2013,Crushing,1
1185,NHS Lothian,East Lothian,2013,Scalds,1
1186,NHS Lothian,East Lothian,2013,Accidental exposure,0
1187,NHS Lothian,East Lothian,2013,Other,1
1189,NHS Lothian,East Lothian,2014,Land transport accidents,2
1190,NHS Lothian,East Lothian,2014,Poisoning,8
1191,NHS Lothian,East Lothian,2014,Falls,9
1192,NHS Lothian,East Lothian,2014,"Struck by,against",0
1193,NHS Lothian,East Lothian,2014,Crushing,0
1194,NHS Lothian,East Lothian,2014,Scalds,0
1195,NHS Lothian,East Lothian,2014,Accidental exposure,2
1196,NHS Lothian,East Lothian,2014,Other,2
1198,NHS Lothian,East Lothian,2015,Land transport accidents,3
1199,NHS Lothian,East Lothian,2015,Poisoning,8
1200,NHS Lothian,East Lothian,2015,Falls,13
1201,NHS Lothian,East Lothian,2015,"Struck by,against",0
1202,NHS Lothian,East Lothian,2015,Crushing,0
1203,NHS Lothian,East Lothian,2015,Scalds,0
1204,NHS Lothian,East Lothian,2015,Accidental exposure,1
1205,NHS Lothian,East Lothian,2015,Other,4
1207,NHS Lothian,East Lothian,2016,Land transport accidents,5
1208,NHS Lothian,East Lothian,2016,Poisoning,9
1209,NHS Lothian,East Lothian,2016,Falls,18
1210,NHS Lothian,East Lothian,2016,"Struck by,against",1
1211,NHS Lothian,East Lothian,2016,Crushing,0
1212,NHS Lothian,East Lothian,2016,Scalds,0
1213,NHS Lothian,East Lothian,2016,Accidental exposure,5
1214,NHS Lothian,East Lothian,2016,Other,1
1216,NHS Lothian,East Lothian,2017,Land transport accidents,6
1217,NHS Lothian,East Lothian,2017,Poisoning,12
1218,NHS Lothian,East Lothian,2017,Falls,11
1219,NHS Lothian,East Lothian,2017,"Struck by,against",0
1220,NHS Lothian,East Lothian,2017,Crushing,0
1221,NHS Lothian,East Lothian,2017,Scalds,0
1222,NHS Lothian,East Lothian,2017,Accidental exposure,2
1223,NHS Lothian,East Lothian,2017,Other,1
1225,NHS Lothian,East Lothian,2018,Land transport accidents,2
1226,NHS Lothian,East Lothian,2018,Poisoning,15
1227,NHS Lothian,East Lothian,2018,Falls,11
1228,NHS Lothian,East Lothian,2018,"Struck by,against",0
1229,NHS Lothian,East Lothian,2018,Crushing,0
1230,NHS Lothian,East Lothian,2018,Scalds,0
1231,NHS Lothian,East Lothian,2018,Accidental exposure,2
1232,NHS Lothian,East Lothian,2018,Other,3
1234,NHS Lothian,East Lothian,2019,Land transport accidents,2
1235,NHS Lothian,East Lothian,2019,Poisoning,14
1236,NHS Lothian,East Lothian,2019,Falls,19
1237,NHS Lothian,East Lothian,2019,"Struck by,against",0
1238,NHS Lothian,East Lothian,2019,Crushing,0
1239,NHS Lothian,East Lothian,2019,Scalds,0
1240,NHS Lothian,East Lothian,2019,Accidental exposure,0
1241,NHS Lothian,East Lothian,2019,Other,4
1243,NHS Lothian,East Lothian,2020,Land transport accidents,5
1244,NHS Lothian,East Lothian,2020,Poisoning,14
1245,NHS Lothian,East Lothian,2020,Falls,10
1246,NHS Lothian,East Lothian,2020,"Struck by,against",0
1247,NHS Lothian,East Lothian,2020,Crushing,0
1248,NHS Lothian,East Lothian,2020,Scalds,0
1249,NHS Lothian,East Lothian,2020,Accidental exposure,2
1250,NHS Lothian,East Lothian,2020,Other,1
1252,NHS Lothian,East Lothian,2021,Land transport accidents,1
1253,NHS Lothian,East Lothian,2021,Poisoning,17
1254,NHS Lothian,East Lothian,2021,Falls,17
1255,NHS Lothian,East Lothian,2021,"Struck by,against",0
1256,NHS Lothian,East Lothian,2021,Crushing,0
1257,NHS Lothian,East Lothian,2021,Scalds,1
1258,NHS Lothian,East Lothian,2021,Accidental exposure,1
1259,NHS Lothian,East Lothian,2021,Other,3
1261,NHS Lothian,Midlothian,2012,Land transport accidents,1
1262,NHS Lothian,Midlothian,2012,Poisoning,4
1263,NHS Lothian,Midlothian,2012,Falls,6
1264,NHS Lothian,Midlothian,2012,"Struck by,against",0
1265,NHS Lothian,Midlothian,2012,Crushing,0
1266,NHS Lothian,Midlothian,2012,Scalds,0
1267,NHS Lothian,Midlothian,2012,Accidental exposure,0
1268,NHS Lothian,Midlothian,2012,Other,4
1270,NHS Lothian,Midlothian,2013,Land transport accidents,4
1271,NHS Lothian,Midlothian,2013,Poisoning,6
1272,NHS Lothian,Midlothian,2013,Falls,13
1273,NHS Lothian,Midlothian,2013,"Struck by,against",0
1274,NHS Lothian,Midlothian,2013,Crushing,0
1275,NHS Lothian,Midlothian,2013,Scalds,0
1276,NHS Lothian,Midlothian,2013,Accidental exposure,0
1277,NHS Lothian,Midlothian,2013,Other,5
1279,NHS Lothian,Midlothian,2014,Land transport accidents,1
1280,NHS Lothian,Midlothian,2014,Poisoning,2
1281,NHS Lothian,Midlothian,2014,Falls,7
1282,NHS Lothian,Midlothian,2014,"Struck by,against",0
1283,NHS Lothian,Midlothian,2014,Crushing,0
1284,NHS Lothian,Midlothian,2014,Scalds,0
1285,NHS Lothian,Midlothian,2014,Accidental exposure,1
1286,NHS Lothian,Midlothian,2014,Other,3
1288,NHS Lothian,Midlothian,2015,Land transport accidents,2
1289,NHS Lothian,Midlothian,2015,Poisoning,9
1290,NHS Lothian,Midlothian,2015,Falls,14
1291,NHS Lothian,Midlothian,2015,"Struck by,against",0
1292,NHS Lothian,Midlothian,2015,Crushing,0
1293,NHS Lothian,Midlothian,2015,Scalds,0
1294,NHS Lothian,Midlothian,2015,Accidental exposure,0
1295,NHS Lothian,Midlothian,2015,Other,1
1297,NHS Lothian,Midlothian,2016,Land transport accidents,3
1298,NHS Lothian,Midlothian,2016,Poisoning,8
1299,NHS Lothian,Midlothian,2016,Falls,12
1300,NHS Lothian,Midlothian,2016,"Struck by,against",0
1301,NHS Lothian,Midlothian,2016,Crushing,0
1302,NHS Lothian,Midlothian,2016,Scalds,0
1303,NHS Lothian,Midlothian,2016,Accidental exposure,1
1304,NHS Lothian,Midlothian,2016,Other,1
1306,NHS Lothian,Midlothian,2017,Land transport accidents,4
1307,NHS Lothian,Midlothian,2017,Poisoning,15
1308,NHS Lothian,Midlothian,2017,Falls,10
1309,NHS Lothian,Midlothian,2017,"Struck by,against",0
1310,NHS Lothian,Midlothian,2017,Crushing,0
1311,NHS Lothian,Midlothian,2017,Scalds,0
1312,NHS Lothian,Midlothian,2017,Accidental exposure,1
1313,NHS Lothian,Midlothian,2017,Other,2
1315,NHS Lothian,Midlothian,2018,Land transport accidents,1
1316,NHS Lothian,Midlothian,2018,Poisoning,9
1317,NHS Lothian,Midlothian,2018,Falls,10
1318,NHS Lothian,Midlothian,2018,"Struck by,against",0
1319,NHS Lothian,Midlothian,2018,Crushing,0
1320,NHS Lothian,Midlothian,2018,Scalds,0
1321,NHS Lothian,Midlothian,2018,Accidental exposure,0
1322,NHS Lothian,Midlothian,2018,Other,2
1324,NHS Lothian,Midlothian,2019,Land transport accidents,3
1325,NHS Lothian,Midlothian,2019,Poisoning,18
1326,NHS Lothian,Midlothian,2019,Falls,12
1327,NHS Lothian,Midlothian,2019,"Struck by,against",0
1328,NHS Lothian,Midlothian,2019,Crushing,0
1329,NHS Lothian,Midlothian,2019,Scalds,0
1330,NHS Lothian,Midlothian,2019,Accidental exposure,0
1331,NHS Lothian,Midlothian,2019,Other,0
1333,NHS Lothian,Midlothian,2020,Land transport accidents,0
1334,NHS Lothian,Midlothian,2020,Poisoning,23
1335,NHS Lothian,Midlothian,2020,Falls,15
1336,NHS Lothian,Midlothian,2020,"Struck by,against",0
1337,NHS Lothian,Midlothian,2020,Crushing,0
1338,NHS Lothian,Midlothian,2020,Scalds,0
1339,NHS Lothian,Midlothian,2020,Accidental exposure,3
1340,NHS Lothian,Midlothian,2020,Other,2
1342,NHS Lothian,Midlothian,2021,Land transport accidents,1
1343,NHS Lothian,Midlothian,2021,Poisoning,24
1344,NHS Lothian,Midlothian,2021,Falls,8
1345,NHS Lothian,Midlothian,2021,"Struck by,against",0
1346,NHS Lothian,Midlothian,2021,Crushing,0
1347,NHS Lothian,Midlothian,2021,Scalds,0
1348,NHS Lothian,Midlothian,2021,Accidental exposure,0
1349,NHS Lothian,Midlothian,2021,Other,1
1351,NHS Lothian,City of Edinburgh,2012,Land transport accidents,23
1352,NHS Lothian,City of Edinburgh,2012,Poisoning,39
1353,NHS Lothian,City of Edinburgh,2012,Falls,49
1354,NHS Lothian,City of Edinburgh,2012,"Struck by,against",0
1355,NHS Lothian,City of Edinburgh,2012,Crushing,0
1356,NHS Lothian,City of Edinburgh,2012,Scalds,1
1357,NHS Lothian,City of Edinburgh,2012,Accidental exposure,9
1358,NHS Lothian,City of Edinburgh,2012,Other,8
1360,NHS Lothian,City of Edinburgh,2013,Land transport accidents,14
1361,NHS Lothian,City of Edinburgh,2013,Poisoning,38
1362,NHS Lothian,City of Edinburgh,2013,Falls,67
1363,NHS Lothian,City of Edinburgh,2013,"Struck by,against",0
1364,NHS Lothian,City of Edinburgh,2013,Crushing,0
1365,NHS Lothian,City of Edinburgh,2013,Scalds,0
1366,NHS Lothian,City of Edinburgh,2013,Accidental exposure,6
1367,NHS Lothian,City of Edinburgh,2013,Other,9
1369,NHS Lothian,City of Edinburgh,2014,Land transport accidents,17
1370,NHS Lothian,City of Edinburgh,2014,Poisoning,55
1371,NHS Lothian,City of Edinburgh,2014,Falls,68
1372,NHS Lothian,City of Edinburgh,2014,"Struck by,against",1
1373,NHS Lothian,City of Edinburgh,2014,Crushing,0
1374,NHS Lothian,City of Edinburgh,2014,Scalds,0
1375,NHS Lothian,City of Edinburgh,2014,Accidental exposure,4
1376,NHS Lothian,City of Edinburgh,2014,Other,14
1378,NHS Lothian,City of Edinburgh,2015,Land transport accidents,4
1379,NHS Lothian,City of Edinburgh,2015,Poisoning,59
1380,NHS Lothian,City of Edinburgh,2015,Falls,56
1381,NHS Lothian,City of Edinburgh,2015,"Struck by,against",0
1382,NHS Lothian,City of Edinburgh,2015,Crushing,0
1383,NHS Lothian,City of Edinburgh,2015,Scalds,0
1384,NHS Lothian,City of Edinburgh,2015,Accidental exposure,6
1385,NHS Lothian,City of Edinburgh,2015,Other,16
1387,NHS Lothian,City of Edinburgh,2016,Land transport accidents,12
1388,NHS Lothian,City of Edinburgh,2016,Poisoning,67
1389,NHS Lothian,City of Edinburgh,2016,Falls,64
1390,NHS Lothian,City of Edinburgh,2016,"Struck by,against",0
1391,NHS Lothian,City of Edinburgh,2016,Crushing,0
1392,NHS Lothian,City of Edinburgh,2016,Scalds,0
1393,NHS Lothian,City of Edinburgh,2016,Accidental exposure,6
1394,NHS Lothian,City of Edinburgh,2016,Other,15
1396,NHS Lothian,City of Edinburgh,2017,Land transport accidents,8
1397,NHS Lothian,City of Edinburgh,2017,Poisoning,84
1398,NHS Lothian,City of Edinburgh,2017,Falls,77
1399,NHS Lothian,City of Edinburgh,2017,"Struck by,against",0
1400,NHS Lothian,City of Edinburgh,2017,Crushing,0
1401,NHS Lothian,City of Edinburgh,2017,Scalds,0
1402,NHS Lothian,City of Edinburgh,2017,Accidental exposure,10
1403,NHS Lothian,City of Edinburgh,2017,Other,9
1405,NHS Lothian,City of Edinburgh,2018,Land transport accidents,14
1406,NHS Lothian,City of Edinburgh,2018,Poisoning,83
1407,NHS Lothian,City of Edinburgh,2018,Falls,76
1408,NHS Lothian,City of Edinburgh,2018,"Struck by,against",0
1409,NHS Lothian,City of Edinburgh,2018,Crushing,0
1410,NHS Lothian,City of Edinburgh,2018,Scalds,0
1411,NHS Lothian,City of Edinburgh,2018,Accidental exposure,6
1412,NHS Lothian,City of Edinburgh,2018,Other,5
1414,NHS Lothian,City of Edinburgh,2019,Land transport accidents,10
1415,NHS Lothian,City of Edinburgh,2019,Poisoning,90
1416,NHS Lothian,City of Edinburgh,2019,Falls,82
1417,NHS Lothian,City of Edinburgh,2019,"Struck by,against",0
1418,NHS Lothian,City of Edinburgh,2019,Crushing,0
1419,NHS Lothian,City of Edinburgh,2019,Scalds,0
1420,NHS Lothian,City of Edinburgh,2019,Accidental exposure,4
1421,NHS Lothian,City of Edinburgh,2019,Other,12
1423,NHS Lothian,City of Edinburgh,2020,Land transport accidents,4
1424,NHS Lothian,City of Edinburgh,2020,Poisoning,104
1425,NHS Lothian,City of Edinburgh,2020,Falls,73
1426,NHS Lothian,City of Edinburgh,2020,"Struck by,against",0
1427,NHS Lothian,City of Edinburgh,2020,Crushing,0
1428,NHS Lothian,City of Edinburgh,2020,Scalds,0
1429,NHS Lothian,City of Edinburgh,2020,Accidental exposure,6
1430,NHS Lothian,City of Edinburgh,2020,Other,10
1432,NHS Lothian,City of Edinburgh,2021,Land transport accidents,9
1433,NHS Lothian,City of Edinburgh,2021,Poisoning,109
1434,NHS Lothian,City of Edinburgh,2021,Falls,71
1435,NHS Lothian,City of Edinburgh,2021,"Struck by,against",0
1436,NHS Lothian,City of Edinburgh,2021,Crushing,1
1437,NHS Lothian,City of Edinburgh,2021,Scalds,1
1438,NHS Lothian,City of Edinburgh,2021,Accidental exposure,11
1439,NHS Lothian,City of Edinburgh,2021,Other,14
1441,NHS Lothian,West Lothian,2012,Land transport accidents,6
1442,NHS Lothian,West Lothian,2012,Poisoning,8
1443,NHS Lothian,West Lothian,2012,Falls,12
1444,NHS Lothian,West Lothian,2012,"Struck by,against",1
1445,NHS Lothian,West Lothian,2012,Crushing,0
1446,NHS Lothian,West Lothian,2012,Scalds,1
1447,NHS Lothian,West Lothian,2012,Accidental exposure,1
1448,NHS Lothian,West Lothian,2012,Other,5
1450,NHS Lothian,West Lothian,2013,Land transport accidents,5
1451,NHS Lothian,West Lothian,2013,Poisoning,13
1452,NHS Lothian,West Lothian,2013,Falls,15
1453,NHS Lothian,West Lothian,2013,"Struck by,against",0
1454,NHS Lothian,West Lothian,2013,Crushing,0
1455,NHS Lothian,West Lothian,2013,Scalds,0
1456,NHS Lothian,West Lothian,2013,Accidental exposure,1
1457,NHS Lothian,West Lothian,2013,Other,2
1459,NHS Lothian,West Lothian,2014,Land transport accidents,11
1460,NHS Lothian,West Lothian,2014,Poisoning,14
1461,NHS Lothian,West Lothian,2014,Falls,15
1462,NHS Lothian,West Lothian,2014,"Struck by,against",0
1463,NHS Lothian,West Lothian,2014,Crushing,0
1464,NHS Lothian,West Lothian,2014,Scalds,0
1465,NHS Lothian,West Lothian,2014,Accidental exposure,4
1466,NHS Lothian,West Lothian,2014,Other,4
1468,NHS Lothian,West Lothian,2015,Land transport accidents,6
1469,NHS Lothian,West Lothian,2015,Poisoning,14
1470,NHS Lothian,West Lothian,2015,Falls,16
1471,NHS Lothian,West Lothian,2015,"Struck by,against",0
1472,NHS Lothian,West Lothian,2015,Crushing,0
1473,NHS Lothian,West Lothian,2015,Scalds,0
